checkpoint,clause,review
"Subcontracting Restrictions","Clause 68.1 The main structure and critical works of this project cannot be subcontracted under any circumstances. If subcontracting of other parts is necessary, Party B must ensure that the subcontractor has a good reputation in the industry and submit a pre - subcontracting report to Party A for approval.","This clause is in line with the checkpoint as it clearly prohibits subcontracting of main and critical works and sets requirements for subcontracting other parts."
"Subcontracting Restrictions","Article 69.1 Subcontracting of the project's main structure and critical works is forbidden. When subcontracting other project segments, Party B must sign a subcontracting agreement with the subcontractor that complies with the main contract terms and obtain Party A's prior consent.","It meets the checkpoint by stating the prohibition of subcontracting main and critical works and the conditions for subcontracting other segments."
"Subcontracting Restrictions","Section 70.1 The main structure and critical works of the project are not subject to subcontracting. For any subcontracting of non - main and non - critical parts, Party B must conduct a background check on the subcontractor and submit the results to Party A for approval before subcontracting.","This clause satisfies the checkpoint by clearly restricting subcontracting of main and critical works and setting a pre - subcontracting approval process for other parts."
"Additional Contractor Obligations","Article 71.1 The contractor, Party B, must obtain Party A's approval at least 3 days in advance if any key construction personnel need to leave the construction site. Failure to do so will result in a fine of [Penalty amount] per day of unauthorized absence.","This clause meets the checkpoint as it clearly defines the approval requirement for key construction personnel leaving the site and the penalty for non - compliance."
"Additional Contractor Obligations","Section 72.1 Party B is required to apply to Party A for permission 5 days before any key construction personnel leave the site. In case of unauthorized absence, Party B will be responsible for compensating for any losses caused by the absence and pay a penalty of [Penalty percentage] of the daily construction cost.","It aligns with the checkpoint by specifying the application time for key personnel to leave the site and the penalty for unauthorized absence in terms of compensation and a percentage of daily construction cost."
"Additional Contractor Obligations","Clause 73.1 The contractor needs to get Party A's approval 2 days before key construction personnel leave the construction site. If unauthorized absence occurs, Party B will be fined [Amount related to work progress] based on the impact on the project's work progress.","This clause is in line with the checkpoint as it details the approval time for key personnel to leave and the penalty for unauthorized absence related to work progress."
"Additional Contractor Obligations","Article 74.1 Party B must seek Party A's approval 4 days in advance for key construction personnel to leave the site. For each day of unauthorized absence, Party B will be charged a penalty equivalent to [Amount based on resource utilization] of the resources utilized by the absent personnel.","It meets the checkpoint by stating the approval time for key personnel to leave and the penalty for unauthorized absence based on resource utilization."
"Additional Contractor Obligations","Section 75.1 The contractor is obligated to obtain Party A's approval 6 days before key construction personnel leave the construction site. Unauthorized absence will lead to Party B being fined [Amount based on safety risks] considering the potential safety risks caused by the absence.","This clause satisfies the checkpoint by providing the approval time for key personnel to leave and the penalty for unauthorized absence considering safety risks."
"Supervision Content","Article 76.1 The supervisor's scope of work includes monitoring the quality of construction materials, the progress of construction work, and ensuring compliance with safety regulations. The supervisor has the authority to stop construction in case of serious non - compliance.","This clause meets the checkpoint as it clearly states the supervision content and the supervisor's authority."
"Supervision Content","Section 77.1 The supervisor is responsible for overseeing the construction process, including checking the installation of construction equipment, the quality of workmanship, and ensuring all construction activities follow the design drawings. The supervisor can demand rectification of any non - compliant work and has the power to approve or reject construction changes.","It aligns with the checkpoint by specifying the supervision content in terms of equipment, workmanship, and design compliance, and the supervisor's authority for rectification and change approval."
"Supervision Content","Clause 78.1 The supervision work covers inspection of the construction site's environmental protection measures, the proper use of construction funds, and the compliance of construction operations with industry standards. The supervisor has the right to request relevant documents from the contractor for review.","This clause is in line with the checkpoint as it details the supervision content regarding environmental protection, funds, and industry standards, and the supervisor's right to request documents."
"Supervision Content","Article 79.1 The supervisor shall monitor the contractor's compliance with the project schedule, the quality of building components, and the implementation of safety management systems. The supervisor can impose fines on the contractor for minor non - compliance within the limits set by the contract.","It meets the checkpoint by stating the supervision content related to schedule, component quality, and safety systems, and the supervisor's authority to fine for minor non - compliance."
"Supervision Content","Section 80.1 The scope of supervision includes checking the contractor's personnel management on - site, the effectiveness of construction quality control measures, and compliance with energy - saving requirements. The supervisor has the power to recommend changes to the construction plan if necessary.","This clause satisfies the checkpoint by providing the supervision content regarding personnel, quality control, and energy - saving, and the supervisor's power to recommend plan changes."
